S.N,Company,High,Low,Average,Closing,Trade Volume,Share Volume
1.,NABIL,"1,740.00","1,065.00","1,356.701,129.1039,687,527,50729,100,402","1,129.10","39,687,527,507","29,100,402"
2.,NIB,514.00,430.00,"460.050.002,793,072,0146,004,114",0.00,"2,793,072,014","6,004,114"
3.,SCB,689.00,434.00,"565.60514.204,139,724,8137,083,003",514.20,"4,139,724,813","7,083,003"
4.,HBL,580.00,477.00,"519.840.00737,312,7481,405,805",0.00,"737,312,748","1,405,805"
5.,SBI,468.00,331.30,"395.17395.904,223,499,28210,353,870",395.90,"4,223,499,282","10,353,870"
6.,NBB,515.00,278.00,"389.650.0021,367,533,47754,006,887",0.00,"21,367,533,477","54,006,887"
7.,EBL,864.00,515.00,"710.32583.0011,642,243,54015,775,039",583.00,"11,642,243,540","15,775,039"
8.,BOKL,433.20,240.20,"333.35296.009,727,103,93528,460,774",296.00,"9,727,103,935","28,460,774"
9.,NICA,"1,085.00",701.00,"890.91867.0032,601,214,27735,690,784",867.00,"32,601,214,277","35,690,784"
10.,MBL,455.00,270.00,"346.21325.0012,773,900,88035,314,256",325.00,"12,773,900,880","35,314,256"
11.,LBL,447.00,245.00,"332.86296.008,732,607,61925,212,929",296.00,"8,732,607,619","25,212,929"
12.,KBL,413.00,223.00,"316.10260.0019,105,042,76257,580,240",260.00,"19,105,042,762","57,580,240"
13.,NCCB,407.00,252.80,"326.84277.0017,565,453,37650,991,053",277.00,"17,565,453,376","50,991,053"
14.,SBL,605.00,364.00,"466.51454.0017,895,094,81337,253,882",454.00,"17,895,094,813","37,253,882"
15.,SHL,321.00,182.00,"231.83222.003,953,151,95815,786,881",222.00,"3,953,151,958","15,786,881"
16.,TRH,468.00,275.00,"362.73372.001,919,886,3845,061,381",372.00,"1,919,886,384","5,061,381"
17.,OHL,761.00,398.00,"522.02500.002,632,485,3344,628,815",500.00,"2,632,485,334","4,628,815"
