SN,Movie Name,Genre,Release date,Lead Actor/Actress
#29,He's All That,"['Romance', 'Comedy']","Aug 27, 2021","['Addison Rae', 'Tanner Buchanan', 'Rachael Leigh Cook', 'Madison Pettis', 'Mark Waters']"
#28,V/H/S/94,['Horror'],"Oct 6, 2021","['Anna Hopkins', 'Christian Potenza', 'Kyal Legend', 'Devin Chin-Cheong', 'Simon Barrett', 'Steven Kostanski', 'Chloe Okuno', 'Ryan Prows']"
#27,Blood Brothers: Malcolm X & Muhammad Ali,"['Documentary', 'History']","Sep 9, 2021","['Malcolm X', 'Muhammad Ali', 'Marcus A. Clarke']"
#25,Hypnotic,"['Horror', 'Mystery & thriller']","Oct 27, 2021","['Kate Siegel', ""Jason O'Mara"", 'Dulé Hill', 'Lucie Guest', 'Matt Angel', 'Suzanne Coote']"
#24,There's Someone Inside Your House,['Horror'],"Oct 6, 2021","['Sydney Park', 'Théodore Pellerin', 'Asjha Cooper', 'Dale Whibley', 'Patrick Brice']"
#23,Shaun the Sheep: The Flight Before Christmas,"['Adventure', 'Animation', 'Kids & family']","Dec 3, 2021","['Justin Fletcher', 'Steve Cox']"
#22,Bruised,['Drama'],"Nov 24, 2021","['Halle Berry', 'Stephen McKinley Henderson', 'Adan Canto', 'Shamier Anderson', 'Halle Berry']"
#21,Come From Away,"['Drama', 'Musical', 'Comedy']","Sep 10, 2021","['Petrina Bromley', 'Jenn Colella', ""De'Lon Grant"", 'Joel Hatch', 'Christopher Ashley']"
#20,Worth,"['Drama', 'Biography']","Sep 3, 2021","['Michael Keaton', 'Stanley Tucci', 'Amy Ryan', 'Laura Benanti', 'Sara Colangelo']"
#19,Nightbooks,"['Fantasy', 'Horror', 'Kids & family']","Sep 15, 2021","['Winslow Fegley', 'Lidya Jewett', 'Krysten Ritter', 'David Yarovesky']"
#18,Annie Live!,"['Comedy', 'Drama', 'Musical']","Dec 2, 2021","['Celina Smith', 'Taraji P. Henson', 'Harry Connick Jr.', 'Nicole Scherzinger', 'Alex Rudzinski', 'Lear DeBessonet']"
#17,Vacation Friends,"['Comedy', 'Adventure']","Aug 27, 2021","['John Cena', 'Meredith Hagner', 'Lil Rel Howery', 'Yvonne Orji', 'Clay Tarver']"
#16,The Harder They Fall,"['Western', 'Drama']","Nov 3, 2021","['Jonathan Majors', 'Zazie Beetz', 'Delroy Lindo', 'LaKeith Stanfield', 'Jeymes Samuel']"
#15,Malignant,"['Horror', 'Mystery & thriller']","Sep 10, 2021","['Annabelle Wallis', 'Maddie Hasson', 'George Young', 'Michole Briana White', 'James Wan']"
#14,King Richard,"['Biography', 'Drama']","Nov 19, 2021","['Will Smith', 'Aunjanue Ellis', 'Jon Bernthal', 'Saniyya Sidney', 'Reinaldo Marcus Green']"
#13,The Witcher: Nightmare of the Wolf,"['Fantasy', 'Adventure', 'Action', 'Animation']","Aug 23, 2021","['Theo James', 'Mary McDonnell', 'Lara Pulver', 'Graham McTavish', 'Han Kwang Il']"
#12,Cry Macho,"['Western', 'Drama', 'Mystery & thriller']","Nov 4, 2021","['Clint Eastwood', 'Eduardo Minett', 'Dwight Yoakam', 'Natalia Traven', 'Clint Eastwood']"
#11,"Tick, Tick... Boom!","['Musical', 'Drama', 'Biography']","Nov 19, 2021","['Andrew Garfield', 'Alexandra Shipp', 'Vanessa Hudgens', 'Bradley Whitford', 'Lin-Manuel Miranda']"
#10,Army of Thieves,['Action'],"Oct 29, 2021","['Matthias Schweighöfer', 'Nathalie Emmanuel', 'Ruby O. Fee', 'Stuart Martin', 'Matthias Schweighöfer']"
#9,Wicked in Concert,"['Musical', 'Special interest']",,"['Kristin Chenoweth', 'Idina Menzel', 'Mario Cantone', 'Gavin Creel', 'Baayork Lee']"
#8,LEGO Star Wars Terrifying Tales,"['Action', 'Adventure', 'Animation', 'Kids & family', 'Sci-fi']","Oct 1, 2021","['Jake Green', 'Raphael Alejandro', 'Dana Snyder', 'Tony Hale', 'Ken Cunningham']"
#7,The Many Saints of Newark,"['Crime', 'Drama']","Oct 1, 2021","['Alessandro Nivola', 'Leslie Odom Jr.', 'Vera Farmiga', 'Jon Bernthal', 'Alan Taylor']"
#6,Kate,"['Action', 'Adventure']","Sep 10, 2021","['Mary Elizabeth Winstead', 'Woody Harrelson', 'Miku Patricia Martineau', 'Jun Kunimura', 'Cedric Nicolas-Troyan']"
#5,"Bob Ross: Happy Accidents, Betrayal & Greed",['Documentary'],"Aug 25, 2021","['Bob Ross', 'Joshua Rofé']"
#4,Cinderella,"['Musical', 'Fantasy']","Sep 3, 2021","['Camila Cabello', 'Idina Menzel', 'Nicholas Galitzine', 'Maddie Baillio', 'Kay Cannon']"
#3,Red Notice,"['Comedy', 'Action']","Nov 12, 2021","['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot', 'Ritu Arya', 'Rawson Marshall Thurber']"
#2,The Matrix Resurrections,"['Action', 'Sci-fi']","Dec 22, 2021","['Keanu Reeves', 'Carrie-Anne Moss', 'Yahya Abdul-Mateen II', 'Jonathan Groff', 'Lana Wachowski']"
#1,Dune,"['Adventure', 'Sci-fi']","Oct 22, 2021","['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Josh Brolin', 'Denis Villeneuve']"
